,ROI,Count,Image,ExptDate,Treatment,Stains,Embryo,Somites,Section,Channel,EmbID
1,Expt,28,20210511_pCAGdnBMPR1A_Sox9;RFP;Pax7;BF_Emb3_8ss_sec3_Sox9,20210511,pCAGdnBMPR1A,Sox9;RFP;Pax7;BF,Emb3,8ss,sec3,Sox9,20210511_Emb3_Sox9
0,Cntl,14,20210512_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb2_7ss_sec3_Snai2,20210512,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb2,7ss,sec3,Snai2,20210512_Emb2_Snai2
1,Expt,8,20210512_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb2_7ss_sec3_Snai2,20210512,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb2,7ss,sec3,Snai2,20210512_Emb2_Snai2
0,Cntl,54,20210512_pCAGdnBMPR1A_Sox9;RFP;Pax7;BF_Emb1_8ss_sec1_Sox9,20210512,pCAGdnBMPR1A,Sox9;RFP;Pax7;BF,Emb1,8ss,sec1,Sox9,20210512_Emb1_Sox9
1,Expt,36,20210512_pCAGdnBMPR1A_Sox9;RFP;Pax7;BF_Emb1_8ss_sec1_Sox9,20210512,pCAGdnBMPR1A,Sox9;RFP;Pax7;BF,Emb1,8ss,sec1,Sox9,20210512_Emb1_Sox9
0,Cntl,42,20210511_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb2_8ss_sec1_Snai2,20210511,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb2,8ss,sec1,Snai2,20210511_Emb2_Snai2
1,Expt,48,20210511_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb2_8ss_sec1_Snai2,20210511,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb2,8ss,sec1,Snai2,20210511_Emb2_Snai2
0,Cntl,29,20210512_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb1_7ss_sec3_Snai2,20210512,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb1,7ss,sec3,Snai2,20210512_Emb1_Snai2
1,Expt,25,20210512_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb1_7ss_sec3_Snai2,20210512,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb1,7ss,sec3,Snai2,20210512_Emb1_Snai2
0,Cntl,16,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb3_8ss_sec4_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb3,8ss,sec4,Snai2,20181125_Emb3_Snai2
1,Expt,18,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb3_8ss_sec4_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb3,8ss,sec4,Snai2,20181125_Emb3_Snai2
0,Cntl,15,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb5_8ss_sec3_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb5,8ss,sec3,Snai2,20181125_Emb5_Snai2
1,Expt,13,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb5_8ss_sec3_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb5,8ss,sec3,Snai2,20181125_Emb5_Snai2
