Gene_ID	Ctrl_rep1	Ctrl_rep2	dnBMPR1A_rep1	dnBMPR1A_rep2
ENSGALG00000025193	0	0	0	0
ENSGALG00000008975	1487	1461	1624	1903
ENSGALG00000028069	4	3	3	0
ENSGALG00000009002	0	1	0	0
ENSGALG00000025216	0	0	0	0
ENSGALG00000009023	1114	2615	2151	1779
ENSGALG00000009029	1078	1484	1175	1132
ENSGALG00000009066	12	4	16	15
ENSGALG00000036488	1	2	0	0
ENSGALG00000050581	0	0	0	0
ENSGALG00000047604	0	0	0	0
ENSGALG00000047004	0	0	0	0
ENSGALG00000009104	300	359	495	394
ENSGALG00000009110	4598	3842	4577	4175
ENSGALG00000050588	0	1	0	1
ENSGALG00000035009	0	0	0	0
ENSGALG00000009134	41	52	62	17
ENSGALG00000032986	16	25	5	3
ENSGALG00000046777	0	1	0	0
ENSGALG00000034574	12	29	35	42
ENSGALG00000030173	24	20	17	20
ENSGALG00000037206	426	554	518	501
ENSGALG00000028180	4	2	7	6
ENSGALG00000043437	23650	26006	24123	20470
ENSGALG00000036883	1	32	37	33
ENSGALG00000053448	0	1	0	0
ENSGALG00000048658	0	0	0	0
ENSGALG00000043287	10	21	8	0
ENSGALG00000033295	42	49	28	45
ENSGALG00000031934	1701	2487	2300	2201
ENSGALG00000040557	13	3	6	7
ENSGALG00000038090	1	0	0	0
ENSGALG00000055139	13	6	9	16
ENSGALG00000026838	776	899	824	654
ENSGALG00000052419	0	0	2	0
ENSGALG00000009424	97	172	118	68
ENSGALG00000052846	0	0	0	0
ENSGALG00000053114	11	18	9	19
ENSGALG00000029796	5	10	5	2
ENSGALG00000009435	0	1	5	12
ENSGALG00000047640	0	0	0	0
ENSGALG00000051656	0	0	2	1
ENSGALG00000009439	63	194	140	81
ENSGALG00000025332	0	0	0	0
ENSGALG00000047917	1	0	1	1
ENSGALG00000009440	152	163	80	154
ENSGALG00000009443	457	852	532	699
ENSGALG00000033415	3	0	0	0
ENSGALG00000009446	7	9	3	3
ENSGALG00000009448	5147	4999	4704	5657
ENSGALG00000051998	0	0	0	0
ENSGALG00000009454	2197	2246	2587	2484
ENSGALG00000049134	0	0	0	0
ENSGALG00000009480	76	71	135	102
ENSGALG00000009485	574	638	497	417
ENSGALG00000009488	13	62	107	13
ENSGALG00000051277	0	0	1	0
ENSGALG00000051026	1	0	2	0
ENSGALG00000050505	0	0	1	0
ENSGALG00000050401	0	0	0	0
ENSGALG00000050996	0	0	0	0
ENSGALG00000052984	0	1	1	1
ENSGALG00000051116	0	2	1	0
ENSGALG00000009492	6860	9179	7780	7142
ENSGALG00000009494	8435	9094	8512	8611
ENSGALG00000009497	0	0	0	1
ENSGALG00000009505	2460	3076	4534	4068
ENSGALG00000009514	23	36	65	63
ENSGALG00000052013	0	0	0	0
ENSGALG00000053908	0	1	0	0
ENSGALG00000009523	22	46	7	8
ENSGALG00000053656	0	0	0	0
ENSGALG00000048132	1	0	0	0
ENSGALG00000009530	13	5	22	49
ENSGALG00000030765	0	0	0	0
ENSGALG00000046845	0	1	0	0
ENSGALG00000047659	0	0	0	0
ENSGALG00000009532	2312	1848	1332	1676
ENSGALG00000009540	1205	1254	1153	1382
ENSGALG00000009544	2498	1972	2557	2636
ENSGALG00000009547	2866	3603	4134	4316
ENSGALG00000047978	0	1	0	1
ENSGALG00000009556	71	98	165	100
ENSGALG00000053357	0	0	0	0
ENSGALG00000054789	0	0	0	0
ENSGALG00000050266	1	0	0	1
ENSGALG00000047965	1	0	0	0
ENSGALG00000050876	1	0	2	0
ENSGALG00000009572	62	47	144	78
ENSGALG00000009577	242	390	358	357
ENSGALG00000009586	73	103	75	95
ENSGALG00000048820	4	10	5	6
ENSGALG00000009595	5432	10539	10435	7885
ENSGALG00000009596	47	7	41	10
ENSGALG00000053883	0	0	0	1
ENSGALG00000009601	446	459	357	615
ENSGALG00000009603	16	36	25	23
ENSGALG00000009604	19	57	12	8
ENSGALG00000047926	0	0	0	0
ENSGALG00000009638	0	4	2	0
ENSGALG00000049596	0	0	0	0
ENSGALG00000046889	1	0	0	2
ENSGALG00000033074	79	101	112	193
ENSGALG00000028849	3117	4490	4231	3940
ENSGALG00000053774	1	8	1	2
ENSGALG00000009698	1100	1587	1648	1998
ENSGALG00000008497	2999	6363	6234	6839
ENSGALG00000025619	0	0	0	0
ENSGALG00000043800	0	0	0	0
ENSGALG00000009730	2	0	1	1
ENSGALG00000051607	0	0	1	0
ENSGALG00000055076	0	0	0	2
ENSGALG00000009739	1053	1349	649	759
ENSGALG00000009743	3102	3321	3353	3661
ENSGALG00000009747	3867	4520	3742	3467
ENSGALG00000009755	464	616	490	418
ENSGALG00000017893	0	0	0	0
ENSGALG00000050139	1	1	1	0
ENSGALG00000049710	3	11	17	4
ENSGALG00000051531	0	0	0	0
ENSGALG00000049770	0	0	0	0
ENSGALG00000009759	43	62	26	45
ENSGALG00000050070	0	0	0	0
ENSGALG00000052108	5	4	4	8
ENSGALG00000019361	0	0	3	5
ENSGALG00000049735	0	0	2	0
ENSGALG00000055064	0	0	0	1
ENSGALG00000030024	3186	4711	4660	5149
ENSGALG00000009795	538	580	562	822
ENSGALG00000018237	0	7	4	2
ENSGALG00000009805	12	10	11	0
ENSGALG00000051395	1	1	1	0
ENSGALG00000049627	0	0	0	0
ENSGALG00000040567	1	0	4	2
ENSGALG00000049150	0	0	1	1
ENSGALG00000009815	757	799	823	911
ENSGALG00000009825	399	432	234	273
ENSGALG00000027682	2960	3872	2995	2698
ENSGALG00000049865	16224	15961	16361	15836
ENSGALG00000025464	56	56	75	62
ENSGALG00000009835	2663	3194	2990	3735
ENSGALG00000009840	399	623	790	965
ENSGALG00000009842	193	381	264	304
ENSGALG00000009856	1508	1790	1687	2268
ENSGALG00000009859	23	211	161	87
