"","Gene id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ctrl_rep1","Ctrl_rep2","dnBMPR1A_rep1","dnBMPR1A_rep2"
"37","ENSGALG00000001141",34127.9520386035,1.1548301377533,0.244640309241926,4.72052271897384,2.35239330903275e-06,0.000590641455159843,26924.0704698018,15385.2444870069,53427.8182310324,40774.674966573
"38","ENSGALG00000004882",2266.62509096586,-1.09764686438595,0.232885699293234,-4.7132428814526,2.43805305392626e-06,0.000596039812394078,3744.40017412153,2435.08131037976,1421.15691915758,1465.86196020458
"39","ENSGALG00000004506",1165.40601464641,-1.00384225765199,0.214860589567035,-4.67206321864251,2.9818914312374e-06,0.000710301830671678,1588.78881895759,1521.81039040798,733.826403491043,817.198445729023
"40","ENSGALG00000001603",1508.76235329987,1.11150203903539,0.238779322770625,4.65493421347505,3.24084167544196e-06,0.0007343272967038,762.787204857621,1145.97493598077,2021.56034019571,2104.7269321654
"41","ENSGALG00000000436",521.994765041383,-1.27707796242344,0.274291752462045,-4.65591090858687,3.22551400570205e-06,0.0007343272967038,760.680057882876,717.504049361044,266.845964905834,342.948988015777
"42","ENSGALG00000055082",185.063488857219,1.89322238384529,0.40740926699673,4.64697918582318,3.36831136808789e-06,0.000745038395465155,91.6608934013992,65.5634330818972,256.738163204855,326.291465740725
"43","ENSGALG00000003861",771.656763347737,1.18886231789126,0.260971190549339,4.55553088212047,5.22534375814854e-06,0.00112891729100465,401.411498688886,539.282322814479,1186.65591969488,959.277312192702
"44","ENSGALG00000000189",899.055415921993,1.00071581858603,0.224580915026861,4.45592546662454,8.35320518721795e-06,0.00176366536793761,587.894005953802,610.386327706114,1192.72060071547,1205.22072931259
"45","ENSGALG00000042210",1453.68431372593,-1.09624360473547,0.248642347321303,-4.40891753374123,1.0388857183191e-05,0.00214472184959654,2419.00472700704,1543.04924901198,889.486549686113,963.196729198597
"46","ENSGALG00000040511",2756.40590646041,-0.830166252467073,0.188601849985164,-4.40168668829271,1.07412589562958e-05,0.00216926729791279,3737.02515970992,3319.72594266789,1936.65480590749,2032.21771755635
"47","ENSGALG00000031427",774.588150374433,1.19918639290603,0.274838622283206,4.36323826303545,1.28151240313879e-05,0.00248026046357486,361.375706168735,578.066325482643,1066.37307945324,1092.53749039312
"48","ENSGALG00000003965",266.705347263475,2.05864296893783,0.471804562928625,4.36333840469716,1.28092566572824e-05,0.00248026046357486,45.3036599570134,160.676582482396,433.62469297198,427.216453642511
"49","ENSGALG00000005716",440.110205829855,1.30065101694144,0.298774131674342,4.3532919321112,1.34108374913972e-05,0.00254258531214449,225.464726297695,282.569162296627,709.567679408694,542.839255316402
"50","ENSGALG00000014930",3756.8295143569,1.13691912833895,0.262290937675272,4.33457266353024,1.46043543705673e-05,0.0027134890420514,3093.29175892538,1604.91896755405,4979.10311790204,5350.00421304612
"51","ENSGALG00000007483",280.361849600905,1.43666247027621,0.333164266881865,4.31217454297291,1.616567355338e-05,0.0029446883786451,138.018126845785,164.370297022221,381.064124126891,437.994850408721
"52","ENSGALG00000026722",592.111262365906,-1.20193308627607,0.279150211782913,-4.30568574030234,1.6646924362177e-05,0.00297403706393508,956.644726534143,694.418333487137,324.460434601412,392.921554840933
"53","ENSGALG00000014513",4486.09125075061,-0.894845960696932,0.208207187507853,-4.2978629672099,1.72452718400667e-05,0.00299580278207631,6831.37049212267,4837.84261853605,3079.84717828817,3195.30471405557
"54","ENSGALG00000006020",2612.28162588128,-0.868333533429538,0.202139819313753,-4.2957074780093,1.74137083134683e-05,0.00299580278207631,3491.54253715215,3259.70308139574,1630.38841436784,2067.4924706094
"55","ENSGALG00000040546",950.449328168011,0.975286516665176,0.228623414341257,4.26590828185868,1.99090563467495e-05,0.00336282060838733,588.947579441174,692.571476217224,1220.01166530811,1300.26659170553
"56","ENSGALG00000030261",733.485941563475,-1.02202007619261,0.242146774446813,-4.22066359763588,2.4358420684133e-05,0.00404088800277849,971.394755357357,994.532639847934,445.754055013154,522.262316035455
"57","ENSGALG00000015556",405.973259165955,1.25737013948071,0.298362235219041,4.21424024577914,2.50620402254084e-05,0.00408467287182533,228.625446759812,250.249160073157,498.314623858243,646.703805972608
"58","ENSGALG00000019987",324.786529889674,-1.31477097073484,0.313272342056139,-4.1968945043327,2.70599902374757e-05,0.00424789774533297,497.286686039775,429.394315254679,196.091352998984,176.373765265257
"59","ENSGALG00000005897",2382.48014788222,-0.787833293861473,0.18800271200655,-4.19054217597684,2.78288678085996e-05,0.00424789774533297,3057.47026035472,2977.13391909911,1799.18870277418,1696.12770930089
"60","ENSGALG00000001956",4755.85536279343,0.928958015205322,0.221707109299169,4.19002357724035,2.78925470899151e-05,0.00424789774533297,3969.86490041922,2581.90646333781,5990.89406816999,6480.75601924672
"61","ENSGALG00000003385",953.858781353253,-1.05419253207041,0.251161222981927,-4.19727424303182,2.70146729406237e-05,0.00424789774533297,1230.57383325097,1344.51209249637,731.804843150847,508.544356514824
"62","ENSGALG00000011419",2364.79430703391,-0.857812284230487,0.206722833754201,-4.14957684476427,3.33090455427493e-05,0.00499098440471194,3427.27455442243,2668.7087550237,1612.19437130608,1750.99954738341
"63","ENSGALG00000040864",5422.27070989048,-0.82066905898291,0.198055360445218,-4.14363467435614,3.4184416566191e-05,0.00504084491904627,7685.81859038169,6162.96270969834,3538.74137551259,4301.56016396932
"64","ENSGALG00000053936",363.65593636152,-1.32770251295645,0.321970210652834,-4.12368122586362,3.72864838024467e-05,0.00541236616444891,617.394063600229,422.930314809985,218.328516741137,195.97085029473
"65","ENSGALG00000014862",8298.09531054353,0.799850680149935,0.194358659288477,4.1153333897141,3.86620183662589e-05,0.00547807246714906,5484.90357526074,6624.67702717649,9359.82437510614,11722.9762646307
"66","ENSGALG00000006743",16628.5454105179,-0.922832920141691,0.224325706332158,-4.11380815525108,3.89184911552032e-05,0.00547807246714906,26079.1045329291,17466.6526301984,9820.74013267076,13147.6843462734
